view,out_bin,in_bin,bin_rms
stock,5,44,0.12022356688976288
stock,5,45,0.11748948693275452
stock,5,46,0.119238942861557
stock,5,47,0.116847924888134
stock,5,48,0.07594012469053268
stock,5,49,0.07605095207691193
stock,5,50,0.07672767341136932
stock,5,51,0.07665082812309265
stock,5,52,0.07630931586027145
stock,5,53,0.07645147293806076
stock,5,54,0.07574867457151413
stock,5,55,0.07577794790267944
stock,5,56,0.07731890678405762
stock,5,57,0.0772734209895134
stock,5,58,0.07688650488853455
stock,5,59,0.0764693021774292
stock,5,60,0.076088085770607
stock,5,61,0.07720796763896942
stock,5,62,0.07749056816101074
stock,5,63,0.07535767555236816
stock,5,64,0.06127361208200455
stock,5,65,0.06146131455898285
stock,5,66,0.05982015281915665
stock,5,67,0.06104905530810356
stock,5,68,0.06161690503358841
stock,5,69,0.06056933477520943
stock,5,70,0.060470130294561386
stock,5,71,0.06039998307824135
stock,5,72,0.061066076159477234
stock,5,73,0.0611998587846756
stock,5,74,0.06024076044559479
stock,5,75,0.060513630509376526
stock,5,76,0.060720302164554596
stock,5,77,0.0611686185002327
stock,5,78,0.061088670045137405
stock,5,79,0.06138870492577553
stock,6,0,0.13772211968898773
stock,6,1,0.13796864449977875
stock,6,2,0.1366294026374817
stock,6,3,0.14117486774921417
stock,6,4,0.13902349770069122
stock,6,5,0.1349785178899765
stock,6,6,0.13817369937896729
stock,6,7,0.1376296579837799
stock,6,8,0.13813155889511108
stock,6,9,0.14684294164180756
stock,6,10,0.1361134648323059
stock,6,11,0.13583387434482574
stock,6,12,0.14227233827114105
stock,6,13,0.1381344348192215
stock,6,14,0.1347496211528778
stock,6,15,0.13623130321502686
stock,6,16,0.09786199778318405
stock,6,17,0.09825919568538666
stock,6,18,0.09739921987056732
stock,6,19,0.09781447798013687
stock,6,20,0.0959184542298317
stock,6,21,0.09852595627307892
stock,6,22,0.09987438470125198
stock,6,23,0.0990043357014656
stock,6,24,0.09829483926296234
stock,6,25,0.0985349714756012
stock,6,26,0.09635110199451447
stock,6,27,0.09808399528265
stock,6,28,0.09876272082328796
stock,6,29,0.09994877129793167
stock,6,30,0.09922358393669128
stock,6,31,0.09762650728225708
stock,6,32,0.11868482083082199
stock,6,33,0.11838260293006897
stock,6,34,0.11664167046546936
stock,6,35,0.11752638965845108
stock,6,36,0.11742793023586273
stock,6,37,0.11792788654565811
stock,6,38,0.11827985942363739
stock,6,39,0.1169988140463829
stock,6,40,0.1181178167462349
stock,6,41,0.11772898584604263
stock,6,42,0.11727745085954666
